keyword,bucket,ma_volume,ma_chance,ma_apps,ma_rank,ma_reach
instagram,BRAND,100,15,249,51,995332
insta,BRAND,75,25,249,30,20682
ig,BRAND,74,16,250,53,17718
instagram unfollowers,CORE,62,62,248,7,2787
inst,BRAND,60,28,250,63,—
unfollow for instagram,CORE,60,65,248,6,2052
unfollow: for instagram,CORE,60,77,225,6,2052
followers and unfollowers,JOB,58,71,247,4,1513
instgram,BRAND,58,15,247,50,1513
instagram followers,CORE,57,67,249,6,1300
instagra,BRAND,56,39,249,24,—
instagram followers tracker,CORE,56,64,248,5,1117
followers,JOB,55,71,249,4,961
ig followers,CORE,55,62,249,5,961
reports,JOB,55,77,249,3,961
followers for instagram,CORE,54,69,249,4,827
followers tracker,JOB,54,71,247,3,827
reports followers,JOB,54,75,249,2,827
unfollow tracker,JOB,54,71,248,5,827
instagram lite,BRAND,53,28,250,87,712
my followers,JOB,53,75,246,3,712
imstagram,BRAND,52,15,247,50,614
inestagram,BRAND,52,15,248,50,614
tracker,JOB,52,59,250,98,614
unfollowers,JOB,52,72,247,10,614
inesta,BRAND,51,25,249,30,529
instafollow,CORE,51,71,249,6,529
instag,BRAND,51,38,250,49,529
intagram,BRAND,51,15,248,50,529
istagram,BRAND,51,15,248,50,529
gram,BRAND,50,56,250,212,457
instagram tracker,CORE,50,77,246,3,457
my follower,JOB,50,72,250,5,457
myblock,JOB,50,78,250,74,—
track,JOB,50,75,250,121,457
unfollow,JOB,50,71,249,9,457
finsta,BRAND,49,26,62,14,—
follow,JOB,49,67,247,4,395
insight,JOB,49,87,248,52,395
myfollowers,JOB,49,77,248,3,395
instagran,BRAND,48,15,247,50,342
instagr,BRAND,47,36,249,66,297
instagram plus,BRAND,47,21,249,2,297
ispy,JOB,47,89,250,59,—
unfollow instagram,CORE,47,82,226,6,297
who unfollowed me on instagram,CORE,47,75,248,6,297
followmeter,JOB,46,71,248,5,258
ig unfollowers app free,CORE,46,66,223,15,258
imsta,BRAND,46,25,247,30,258
indta,BRAND,46,31,248,29,258
instageam,BRAND,46,15,248,50,258
inta,BRAND,46,30,250,62,258
i̇nstagram,BRAND,46,16,250,110,258
theghost,JOB,46,79,248,152,—
unblock me,JOB,46,70,250,81,—
ansta,BRAND,45,25,247,31,225
follow me,JOB,45,98,238,13,225
followers insight,JOB,45,87,247,3,225
free instagram followers,CORE,45,85,223,24,225
indtagram,BRAND,45,15,248,51,225
tracking,JOB,45,66,250,76,225
feed preview,JOB,44,98,249,102,—
follower analyzer for instagram,CORE,44,70,161,3,196
followers report,JOB,44,82,241,5,196
i stagram,BRAND,44,15,248,50,196
insa,BRAND,44,68,248,48,—
instagram insights,CORE,44,67,208,3,196
instragram,BRAND,44,15,247,50,196
my followers for instagram,CORE,44,66,129,4,196
non followers instagram,CORE,44,77,222,6,196
track instagram followers,CORE,44,77,232,5,196
who doesnt follow me back,JOB,44,75,88,5,196
follow unfollow instagram,CORE,43,81,235,7,172
free instagram unfollow,CORE,43,77,243,8,172
instagram unfollow tracker,CORE,43,76,244,5,172
instagrm,BRAND,43,15,248,50,172
instagrsm,BRAND,43,15,248,50,172
instatroid,BRAND,43,76,65,5,172
ista,BRAND,43,42,250,78,172
not following back instagram,CORE,43,75,245,7,172
unfollower tracker instagram,CORE,43,77,169,14,172
ensta,BRAND,42,50,187,30,151
follow track instagram,CORE,42,80,242,6,151
followers unfollowers,JOB,42,78,172,10,151
free followers for instagram,CORE,42,78,125,11,151
free unfollowers app for instagram,CORE,42,67,189,14,151
gost tracker,JOB,42,92,247,100,151
